,PlaybackIndex,is_distal_droplet,is_total,is_progressive,is_slow,is_medium,is_proximal_droplet,is_hyperactive_mouse,is_motile,is_static,is_bent_tail,is_rapid,is_earlytrack,fid,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy
260,22,0,1,1,0,0,0,0,1,0,0,1,0,260,65.11,58.62,6.94,50.18,26.71,116.83,55.73,90.03,74.91150993953991,3,1.4347900067414723e-11,0.0,7.573992583424607e-05,0.9999242600598165,4.817324459359184e-79,progressive,1.4347900067414723e-11,0.0,7.573992583424607e-05,0.9999242600598165,4.817324459359184e-79,-11.073485,-6.783917,0.8342033975512853,0.21813153446310224,0.9999242600741644,4.381240776437528e-80,0.0007943730071919285
261,23,0,1,1,0,0,0,0,1,0,0,1,0,261,90.78,84.08,9.62,41.79,23.73,201.19,45.12,92.61,99.1559576223513,3,0.0032277856797737828,0.0,3.4476001756172635e-06,0.9967687667200517,3.747695102180425e-18,progressive,0.0032277856797737828,0.0,3.4476001756172635e-06,0.9967687667200517,3.747695102180425e-18,7.2313447,-1.3833879,0.8942302377364384,0.16465355355779893,0.9999965523998254,1.3346919907864075e-19,4.695133134103184e-05
262,24,0,1,1,0,0,0,0,1,0,0,1,0,262,81.11,77.46,6.15,57.7,25.79,134.24,60.42,95.49,62.565925798433454,3,1.7614773529300057e-19,0.0,6.343435108745677e-07,0.9999993656564876,1.9580433714386476e-94,progressive,1.7614773529300057e-19,0.0,6.343435108745677e-07,0.9999993656564876,1.9580433714386476e-94,-10.252562,-20.046736,0.9147374841018834,0.15760427969840324,0.9999993656564876,0.0,9.686851527443082e-06
263,25,0,1,0,0,0,0,0,0,1,0,0,0,263,72.29,1.21,12.55,0.41,227.8,293.44,24.64,1.68,104.08977442329335,4,1.4382070042775944e-237,0.0,2.1597008547799654e-111,0.0,1.0,erratic,1.4382070042775944e-237,0.0,2.1597008547799654e-111,0.0,1.0,-5.1076684,44.03938,0.5326751671925163,1.0,1.4382070042775944e-237,0.40139794676860363,-1.000088900581841e-12
264,26,0,1,1,0,0,0,0,1,0,0,1,0,264,73.88,61.55,13.82,23.43,21.37,262.73,28.12,83.3,96.41688443386847,0,0.9971863010888193,0.0,8.661826080793499e-14,4.124393189189365e-24,0.002813698911092771,rapid_progressive,0.9971863010888193,0.0,8.661826080793499e-14,4.124393189189365e-24,0.002813698911092771,12.293872,23.263273,0.838904106021179,0.32409486064726234,0.9971863010888193,0.0007845051244724183,7.739083067235025e-10
265,28,0,1,0,0,0,0,0,1,0,0,1,1,265,162.68,129.31,8.46,55.64,35.36,232.42,69.99,79.49,67.84181441316701,0,0.9999999999987512,0.0,1.248698739574935e-12,1.2874698915697984e-23,1.7811443973101604e-54,rapid_progressive,0.9999999999987512,0.0,1.248698739574935e-12,1.2874698915697984e-23,1.7811443973101604e-54,31.525978,-22.388067,0.9973816260080441,0.15466193967829614,0.9999999999987512,0.0,2.6918939627998737e-10
266,29,0,1,0,0,0,0,0,1,0,0,1,1,266,97.65,64.28,11.05,28.68,20.94,224.11,43.57,65.82,79.85633216838852,0,0.9997844004623521,0.0,0.00021429634642073912,4.267918113877177e-49,1.3031912282955017e-06,rapid_progressive,0.9997844004623521,0.0,0.00021429634642073912,4.267918113877177e-49,1.3031912282955017e-06,10.401496,9.763809,0.7767977263488473,0.32049769353343954,0.9997844004623521,1.8518648256895587e-07,0.03690516295737433
267,1,0,1,0,0,0,0,0,0,1,0,0,0,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.06472738236948,1,0.0,1.0,1.8947062975017426e-44,0.0,3.66934590623567e-74,immotile,0.0,1.0,1.8947062975017426e-44,0.0,3.66934590623567e-74,-61.2083,21.486115,0.0,0.1776380150491955,0.0,0.0,-1.000088900581841e-12
268,2,0,1,1,0,0,0,0,1,0,0,1,1,268,122.77,120.0,6.57,59.97,23.93,200.12,61.35,97.75,86.6157307482519,3,1.389313670569471e-08,0.0,2.2392107266435807e-11,0.9999999860844718,7.574196823547015e-61,progressive,1.389313670569471e-08,0.0,2.2392107266435807e-11,0.9999999860844718,7.574196823547015e-61,18.652647,-27.014736,1.0,0.02841156400248063,0.9999999999776086,0.0,5.695200571851713e-10
269,3,0,1,1,0,0,0,0,1,0,0,1,0,269,98.53,81.0,9.35,47.68,23.1,169.88,58.0,82.21,68.20580676161327,3,0.001671105117174929,0.0,0.00035054916057541215,0.997978345722248,4.319601891105406e-39,progressive,0.001671105117174929,0.0,0.00035054916057541215,0.997978345722248,4.319601891105406e-39,7.1153903,-14.618492,0.8700992982874991,0.2197812859154807,0.9996494508394229,3.4159267834492068e-40,0.003144127967821107
